"gid";"id_grid";"dir";"coor";"x";"y"
289;359;"C 47 O 5B O 10 01";"3.463929318743,-76.58887367626";-76.58887367626;3.463929318743
290;359;"C 47B O 5C O 09";"3.464773242196,-76.588465142889";-76.588465142889;3.464773242196
291;359;"C 47 O 5B O 12";"3.46388797131,-76.58885751801";-76.58885751801;3.46388797131
292;359;"A 5D O 46B O 11";"3.463916202085,-76.588554899337";-76.588554899337;3.463916202085
293;359;"C 47 O 5D O 14";"3.464049842571,-76.588442678778";-76.588442678778;3.464049842571
294;359;"C 47 O 5B O 30";"3.463934853828,-76.588515607899";-76.588515607899;3.463934853828
295;359;"C 47 O 5A O 15";"3.46400245317,-76.588984390821";-76.588984390821;3.46400245317
296;359;"C 47B O 5B O 10";"3.464476093344,-76.588966200196";-76.588966200196;3.464476093344
297;359;"A 5C O 47B O 14  1";"3.464813452387,-76.588701746732";-76.588701746732;3.464813452387
298;359;"A 5C O 47B O 02";"3.464165351097,-76.5885160963";-76.5885160963;3.464165351097
299;359;"C 47B O 5C O 04  1";"3.464618328081,-76.588743659228";-76.588743659228;3.464618328081
300;359;"C 47A O 5B O 11";"3.464380037903,-76.588681937359";-76.588681937359;3.464380037903
301;359;"A 5E O 47B O 25";"3.464990060558,-76.588606433347";-76.588606433347;3.464990060558
302;359;"A 5A O 47 O 16";"3.464113612557,-76.589075611676";-76.589075611676;3.464113612557
303;359;"A 5B O 48 O 10";"3.464582582871,-76.589204639282";-76.589204639282;3.464582582871
304;359;"C 47 O 5D O 03";"3.46423043051,-76.588516351212";-76.588516351212;3.46423043051
305;359;"C 47 O 5B O 33";"3.464206816949,-76.588427462164";-76.588427462164;3.464206816949
306;359;"C 47 O 5B O 26";"3.463898882599,-76.588692436913";-76.588692436913;3.463898882599
307;359;"C 47 O 5B O 14";"3.463897310299,-76.588836462923";-76.588836462923;3.463897310299
308;359;"A 5C O 47B O 10";"3.464648869006,-76.588650508013";-76.588650508013;3.464648869006
309;359;"C 48 O 5B O 19";"3.464756310777,-76.589105603138";-76.589105603138;3.464756310777
310;359;"A 5C O 47B O 26";"3.464205670542,-76.588489897528";-76.588489897528;3.464205670542
311;359;"A 5C O 47B O 20";"3.464850336068,-76.588637475627";-76.588637475627;3.464850336068
312;359;"A 5A O 47A O 10";"3.464295213774,-76.589162823403";-76.589162823403;3.464295213774
313;359;"C 47B O 5B O 09";"3.464379053957,-76.588682869652";-76.588682869652;3.464379053957
314;359;"C 47B O 5B O 04";"3.464426018047,-76.589063274366";-76.589063274366;3.464426018047
315;359;"A 5B O 47B O 10";"3.464177131053,-76.588519356849";-76.588519356849;3.464177131053
316;359;"C 47A O 5C O 04";"3.464377792661,-76.588527224954";-76.588527224954;3.464377792661
317;359;"A 5E O 47 O 09";"3.464290879571,-76.588206620311";-76.588206620311;3.464290879571
318;359;"A 5E O 47 O 23";"3.464433250122,-76.588231999664";-76.588231999664;3.464433250122
319;359;"A 5E O 47 O 17";"3.464336250774,-76.588215954831";-76.588215954831;3.464336250774
320;359;"C 47A O 5C O 24";"3.46442412575,-76.588322364065";-76.588322364065;3.46442412575
321;359;"C 47A O 5C O 17";"3.464544743766,-76.58831323654";-76.58831323654;3.464544743766
322;359;"A 5C O 47A O 10";"3.464532768251,-76.588615023186";-76.588615023186;3.464532768251
323;359;"C 47A O 5C O 10";"3.464411538585,-76.588452155614";-76.588452155614;3.464411538585
324;359;"A 5C O 47A O 16";"3.464591394678,-76.588565400285";-76.588565400285;3.464591394678
325;359;"C 47A O 5C O 03";"3.464479011075,-76.588553703926";-76.588553703926;3.464479011075
326;359;"C 47A O 5B O 18";"3.464283722569,-76.588574407023";-76.588574407023;3.464283722569
327;359;"A 5D O 47 O 09";"3.464003474274,-76.588597121816";-76.588597121816;3.464003474274
328;359;"A 5D O 47 O 03";"3.463982568528,-76.58854845544";-76.58854845544;3.463982568528
329;359;"A 5D O 46B O 12";"3.463936894728,-76.588380896799";-76.588380896799;3.463936894728
330;359;"C 47A O 5C O 16";"3.464414913655,-76.588395637925";-76.588395637925;3.464414913655
331;359;"C 47 O 5D O 12";"3.464047810031,-76.588448939563";-76.588448939563;3.464047810031
332;359;"C 47 O 5B O 39";"3.464212914568,-76.588408679895";-76.588408679895;3.464212914568
333;359;"C 47 O 5B O 32";"3.463934471017,-76.588618745675";-76.588618745675;3.463934471017
334;359;"A 5C O 47A O 03";"3.464130118772,-76.588655778967";-76.588655778967;3.464130118772
335;359;"C 47B O 5C O 03";"3.464676697271,-76.588903485853";-76.588903485853;3.464676697271
336;359;"A 5B O 47B O 04";"3.464179754656,-76.588482724428";-76.588482724428;3.464179754656
337;359;"C 47A O 5B O 17";"3.464428073401,-76.588670490253";-76.588670490253;3.464428073401
338;359;"A 5B O 47A O 18";"3.464329852203,-76.589040709966";-76.589040709966;3.464329852203
339;359;"C 47 O 5B O 20";"3.463929278961,-76.588814707429";-76.588814707429;3.463929278961
340;359;"C 47B O 5C O 12";"3.464599252475,-76.58847560707";-76.58847560707;3.464599252475
341;359;"A 5B O 47 O 10";"3.464119106761,-76.588855214385";-76.588855214385;3.464119106761
342;359;"C 47 O 5B O 17";"3.464430022576,-76.588668993779";-76.588668993779;3.464430022576
343;359;"C 47 O 5A O 11";"3.464065908935,-76.588834794991";-76.588834794991;3.464065908935
344;359;"C 47 O 5B O 11";"3.464184458831,-76.58849633045";-76.58849633045;3.464184458831
345;359;"C 47 O 5B O 11 01";"3.464184458831,-76.58849633045";-76.58849633045;3.464184458831
346;359;"C 47 O 5A 15";"3.464064593929,-76.588838444619";-76.588838444619;3.464064593929
347;360;"A 5C O 47B O 08";"3.464671588289,-76.5886723752";-76.5886723752;3.464671588289
348;360;"A 5D O 47B B 19";"3.464860375663,-76.588254589339";-76.588254589339;3.464860375663
349;360;"A 5C O 47B O 16";"3.46494083181,-76.588839229137";-76.588839229137;3.46494083181
350;360;"C 47B O 5C O 15";"3.464742444263,-76.588402669611";-76.588402669611;3.464742444263
351;360;"A 5E O 47B O 23";"3.464702317743,-76.588628687981";-76.588628687981;3.464702317743
352;360;"C 48 O 5C O 09";"3.465078921652,-76.589108770473";-76.589108770473;3.465078921652
353;360;"A 5C O 48A O 04";"3.465037486647,-76.589225671305";-76.589225671305;3.465037486647
354;360;"C 48B O 5C O 10";"3.465236039751,-76.5892411777";-76.5892411777;3.465236039751
355;360;"C 48 O 5C O 04  1";"3.465061452182,-76.588834185553";-76.588834185553;3.465061452182
356;360;"C 47B O 5C O 09";"3.464773242196,-76.588465142889";-76.588465142889;3.464773242196
357;360;"A 5C O 47B O 14  1";"3.464813452387,-76.588701746732";-76.588701746732;3.464813452387
358;360;"A 5C O 47B O 22  1";"3.465014808326,-76.58890140129";-76.58890140129;3.465014808326
359;360;"A 5E O 47B O 25";"3.464990060558,-76.588606433347";-76.588606433347;3.464990060558
360;360;"C 48 O 5B O 25";"3.464856841823,-76.589078731529";-76.589078731529;3.464856841823
361;360;"A 5C O 47B O 10";"3.464648869006,-76.588650508013";-76.588650508013;3.464648869006
362;360;"C 48 O 5E O 03";"3.465277901487,-76.588974999329";-76.588974999329;3.465277901487
363;360;"C 48 O 5E O 04";"3.465168320727,-76.588735350028";-76.588735350028;3.465168320727
364;360;"A 5C O 47B O 32";"3.465065418345,-76.588728451073";-76.588728451073;3.465065418345
365;360;"A 5C O 47B O 20";"3.464850336068,-76.588637475627";-76.588637475627;3.464850336068
366;360;"A 5C O 47B O 35";"3.465029041058,-76.58852724184";-76.58852724184;3.465029041058
367;360;"C 48B O 5E O 04";"3.465367664952,-76.589142906399";-76.589142906399;3.465367664952
368;360;"A 5E O 48 O 13";"3.465120534116,-76.589074162793";-76.589074162793;3.465120534116
369;360;"C 48 O 5E O 10";"3.465237431133,-76.588705182898";-76.588705182898;3.465237431133
370;360;"C 49 O 5A O 22";"3.465421410359,-76.589143242061";-76.589143242061;3.465421410359
371;395;"C 44 O 5E 03";"3.461526430639,-76.587464810346";-76.587464810346;3.461526430639
372;395;"A 4 O 45 O 45";"3.461494053763,-76.587595239356";-76.587595239356;3.461494053763
373;395;"C 44B O 4A O 11";"3.461479445458,-76.587468126282";-76.587468126282;3.461479445458
374;396;"C 44 O 5 O 21";"3.461616641129,-76.587426927993";-76.587426927993;3.461616641129
375;396;"C 44 O 5E 03";"3.461526430639,-76.587464810346";-76.587464810346;3.461526430639
376;396;"A 4 O 45 O 45";"3.461494053763,-76.587595239356";-76.587595239356;3.461494053763
377;396;"C 44 O 5 O 15";"3.461586570936,-76.587439555385";-76.587439555385;3.461586570936
378;396;"C 44A O 5C 05";"3.461536454007,-76.587460601216";-76.587460601216;3.461536454007
379;396;"C 44B O 4A O 83";"3.462005255327,-76.587253576698";-76.587253576698;3.462005255327
380;396;"C 44B O 4A O 11";"3.461479445458,-76.587468126282";-76.587468126282;3.461479445458
381;396;"C 44B O 4A O 23";"3.461544902087,-76.58745792284";-76.58745792284;3.461544902087
382;396;"C 44B O 4A O 29";"3.461597261152,-76.587438050804";-76.587438050804;3.461597261152
383;396;"C 44B O 4A O 35";"3.461655765047,-76.587421584439";-76.587421584439;3.461655765047
384;396;"C 44B O 4A O 41";"3.461712652873,-76.587405413121";-76.587405413121;3.461712652873
385;396;"C 44B O 4A O 47";"3.461767966671,-76.587387513813";-76.587387513813;3.461767966671
386;396;"C 44B O 4A O 53";"3.461821456612,-76.587366817004";-76.587366817004;3.461821456612
387;396;"C 44B O 4A O 77";"3.46197675732,-76.587302839763";-76.587302839763;3.46197675732
388;396;"C 44B O 4A O 71";"3.461927740347,-76.587323077941";-76.587323077941;3.461927740347
389;397;"A 5C O 44A O 62";"3.462952865938,-76.587471886085";-76.587471886085;3.462952865938
390;397;"A 5A O 44 O 88";"3.462679844392,-76.587448781221";-76.587448781221;3.462679844392
391;397;"A 5A O 46 O 20";"3.462962206154,-76.588000289531";-76.588000289531;3.462962206154
392;397;"A 5A O 46 O 08";"3.462923307633,-76.587887377539";-76.587887377539;3.462923307633
393;397;"A 5A O 46 O 02";"3.462883878232,-76.587849244767";-76.587849244767;3.462883878232
394;397;"A 5A O 44 O 112";"3.46285632939,-76.58778062468";-76.58778062468;3.46285632939
395;397;"A 5A O 44 O 106";"3.46279143998,-76.587650546641";-76.587650546641;3.46279143998
396;397;"A 5A O 44 O 94";"3.462703805019,-76.587496339748";-76.587496339748;3.462703805019
397;397;"A 5A O 44 O 82  1";"3.462652919179,-76.587403239261";-76.587403239261;3.462652919179
398;397;"A 5A O 44 O 76";"3.46262546727,-76.587357876905";-76.587357876905;3.46262546727
399;397;"A 5A O 44 O 70";"3.462607330533,-76.587291508608";-76.587291508608;3.462607330533
400;397;"A 5A O 44 O 1 1";"3.462739145784,-76.587559987467";-76.587559987467;3.462739145784
401;397;"A 5A O 46 O 44";"3.463081976316,-76.588262068528";-76.588262068528;3.463081976316
402;397;"A 5A O 46 O 26";"3.462998526715,-76.588120309121";-76.588120309121;3.462998526715
403;397;"A 5A O 46 O 38";"3.463037904516,-76.588222602939";-76.588222602939;3.463037904516
404;397;"A 5C O 44A O 56";"3.462807140071,-76.587264313966";-76.587264313966;3.462807140071
405;397;"C 45 O 5 O 22";"3.462839093576,-76.587752239699";-76.587752239699;3.462839093576
406;397;"C 45 O 5 O 27";"3.462899706487,-76.587882977224";-76.587882977224;3.462899706487
407;397;"C 45 O 5 O 21";"3.46289764691,-76.587883890801";-76.587883890801;3.46289764691
408;397;"C 45 O 5 O 15";"3.462895587243,-76.587884804378";-76.587884804378;3.462895587243
409;397;"A 5A O 46 O 14";"3.46293878056,-76.587945971257";-76.587945971257;3.46293878056
410;397;"A 5D O 46 O 03";"3.463068064068,-76.587797225968";-76.587797225968;3.463068064068
411;397;"A 5C O 44A O 55";"3.462785908063,-76.587543345191";-76.587543345191;3.462785908063
412;397;"A 5C O 44A O 61";"3.462822844587,-76.587636907225";-76.587636907225;3.462822844587
413;397;"A 5A O 46 O 32";"3.46302946363,-76.588166142564";-76.588166142564;3.46302946363
414;397;"C 46 O 5C O 10";"3.46302926094,-76.587630321588";-76.587630321588;3.46302926094
