"gid";"id_grid";"dir";"coor";"x";"y"
8268;3053;"C 13 O 52C 28";"3.420876776166,-76.565834468657";-76.565834468657;3.420876776166
8269;3053;"C 13 O 52C 22";"3.420941375297,-76.565776123102";-76.565776123102;3.420941375297
8270;3053;"C 13 O 52C 16";"3.420765782026,-76.565814744629";-76.565814744629;3.420765782026
8271;3053;"C 13 O 52C 41";"3.42078809095,-76.565546771229";-76.565546771229;3.42078809095
8272;3053;"K 49B 25A O 44";"3.421241102485,-76.565513234647";-76.565513234647;3.421241102485
8273;3053;"K 49B 25A O 08";"3.4212942847,-76.56519678194";-76.56519678194;3.4212942847
8274;3053;"C 25B O 49 45";"3.421622836283,-76.565469732675";-76.565469732675;3.421622836283
8275;3053;"C 25B O 49A 23";"3.42133330967,-76.565362920061";-76.565362920061;3.42133330967
8276;3053;"K 49B 25A O 16";"3.421266786057,-76.565332780509";-76.565332780509;3.421266786057
8277;3053;"C 25C O 49B 54";"3.420830886469,-76.565360358485";-76.565360358485;3.420830886469
8278;3053;"C 25C O 49 42";"3.421225583502,-76.565861724044";-76.565861724044;3.421225583502
8279;3053;"C 25C O 49B 48";"3.420847224781,-76.565423967607";-76.565423967607;3.420847224781
8280;3053;"C 25C O 49B 64";"3.420763865054,-76.565106932949";-76.565106932949;3.420763865054
8281;3053;"C 25C O 49B 42";"3.420869637276,-76.565494135718";-76.565494135718;3.420869637276
8282;3053;"K 49 25C O 11";"3.421155991572,-76.565852560315";-76.565852560315;3.421155991572
8283;3053;"K 49 25C O 23";"3.420987430676,-76.565898441003";-76.565898441003;3.420987430676
8284;3053;"K 49C 25B O  17";"3.4210994,-76.565247055535";-76.565247055535;3.4210994
8285;3053;"C 25B O 49A 03";"3.421545998087,-76.565415093984";-76.565415093984;3.421545998087
8286;3053;"K 49C 25B O  05";"3.421144255325,-76.565307951164";-76.565307951164;3.421144255325
8287;3053;"K 49B 25A O 52";"3.421306114687,-76.56546811016";-76.56546811016;3.421306114687
8288;3053;"K 49B 25A O 04";"3.421386128978,-76.565205530817";-76.565205530817;3.421386128978
8289;3053;"K 49B 25A O 10";"3.421279122756,-76.565264810098";-76.565264810098;3.421279122756
8290;3053;"C 25B O 49A 04";"3.421476754823,-76.565531273389";-76.565531273389;3.421476754823
8291;3053;"K 49A 25A O 13";"3.421629814606,-76.565272734682";-76.565272734682;3.421629814606
8292;3053;"K 49A 25A O 21";"3.421590663949,-76.565328626372";-76.565328626372;3.421590663949
8293;3053;"K 49B 25A O 17";"3.421183652448,-76.565157018486";-76.565157018486;3.421183652448
8294;3053;"C 25B O 49A 15";"3.421398417024,-76.565377756103";-76.565377756103;3.421398417024
8295;3053;"C 25A O 49B 10";"3.421050774775,-76.565040209984";-76.565040209984;3.421050774775
8296;3053;"K 49C 25B O  33";"3.421058274845,-76.565237140919";-76.565237140919;3.421058274845
8297;3053;"C 25C O 49B 36";"3.421244231675,-76.565680947431";-76.565680947431;3.421244231675
8298;3053;"C 25B O 49A 29";"3.421306114687,-76.56546811016";-76.56546811016;3.421306114687
8299;3053;"K 49B 25A O 69";"3.421130628986,-76.565486664291";-76.565486664291;3.421130628986
8300;3053;"K 49B 25A O 43";"3.421137679785,-76.565364519457";-76.565364519457;3.421137679785
8301;3053;"C 25B O 49A 09";"3.421473409215,-76.565395763862";-76.565395763862;3.421473409215
8302;3053;"K 49B 25A O 59";"3.421132753344,-76.565425899585";-76.565425899585;3.421132753344
8303;3053;"K 49B 25A O 58";"3.421290291007,-76.565557162881";-76.565557162881;3.421290291007
8304;3053;"C 25A O 49B 16";"3.421126968868,-76.565077766695";-76.565077766695;3.421126968868
8305;3053;"K 49B 25 O 06";"3.421384369614,-76.565021940193";-76.565021940193;3.421384369614
8306;3053;"K 49B 25 O 10";"3.421315934262,-76.564870295404";-76.564870295404;3.421315934262
8307;3054;"K 47A 24 O 16";"3.422126974997,-76.565593051971";-76.565593051971;3.422126974997
8308;3054;"C 24A O 47 10";"3.422278795565,-76.565630792457";-76.565630792457;3.422278795565
8309;3054;"K 47A 24 O 02";"3.42189836474,-76.565483857697";-76.565483857697;3.42189836474
8310;3054;"K 49A 25A O 07";"3.421669558964,-76.565224453945";-76.565224453945;3.421669558964
8311;3054;"K 47A 24 O 12";"3.422050516086,-76.565522383108";-76.565522383108;3.422050516086
8312;3054;"K 47A 24 O 08";"3.421984363204,-76.56544108241";-76.56544108241;3.421984363204
8313;3054;"C 25A 1 O 49 15";"3.421839309772,-76.565427404435";-76.565427404435;3.421839309772
8314;3054;"C 25B O 49 45";"3.421622836283,-76.565469732675";-76.565469732675;3.421622836283
8315;3054;"K 47A 24 O 04";"3.421944489431,-76.565334971719";-76.565334971719;3.421944489431
8316;3054;"C 25 O 49A 11";"3.421898057601,-76.565040550061";-76.565040550061;3.421898057601
8317;3054;"K 49B 25 O 04";"3.421511810373,-76.564912263733";-76.564912263733;3.421511810373
8318;3054;"C 25 O 49A 33";"3.421685788829,-76.564975087761";-76.564975087761;3.421685788829
8319;3054;"C 25A 1 O 49 33";"3.42169594101,-76.565339449351";-76.565339449351;3.42169594101
